Method,Instance,N,Optimal_K,Euristich_K,Q,Cost,Optimal_Value,Optimality_Gap(%),Optimality_K_Gap(%),Processing_Time(s)
My-Euristich,XML100_1315_06,100,5,6.0,20,15779.0,10760.0,46.64,20.0,0.002272
My-Euristich,XML100_1313_25,100,10,12.0,10,25968.0,18863.0,37.67,20.0,0.003779
My-Euristich,XML100_3213_10,100,10,12.0,10,28877.0,19837.0,45.57,20.0,0.003163
My-Euristich,XML100_3213_09,100,10,12.0,10,25911.0,19595.0,32.23,20.0,0.003263
My-Euristich,XML100_3213_03,100,10,12.0,10,15812.0,11615.0,36.13,20.0,0.003139
My-Euristich,XML100_1215_04,100,5,6.0,20,10014.0,7222.0,38.66,20.0,0.002162
My-Euristich,XML100_2215_02,100,5,6.0,20,11673.0,7361.0,58.58,20.0,0.002199
My-Euristich,XML100_2213_18,100,10,12.0,10,15511.0,10322.0,50.27,20.0,0.003756
My-Euristich,XML100_3113_03,100,10,12.0,10,27583.0,20860.0,32.23,20.0,0.003097
My-Euristich,XML100_2213_02,100,10,12.0,10,14653.0,10591.0,38.35,20.0,0.003123
My-Euristich,XML100_2215_07,100,5,6.0,20,11854.0,7570.0,56.59,20.0,0.003042
My-Euristich,XML100_2215_20,100,5,6.0,20,9877.0,6401.0,54.3,20.0,0.002214
My-Euristich,XML100_2213_27,100,10,12.0,10,16954.0,10540.0,60.85,20.0,0.003226
My-Euristich,XML100_2213_13,100,10,12.0,10,17495.0,11931.0,46.63,20.0,0.003148
My-Euristich,XML100_2213_14,100,10,12.0,10,13861.0,10760.0,28.82,20.0,0.003836
My-Euristich,XML100_3115_05,100,5,6.0,20,16345.0,12358.0,32.26,20.0,0.002305
My-Euristich,XML100_3113_21,100,10,12.0,10,29640.0,20745.0,42.88,20.0,0.003348
My-Euristich,XML100_3113_08,100,10,12.0,10,27752.0,20378.0,36.19,20.0,0.00315
My-Euristich,XML100_1115_16,100,5,6.0,20,16849.0,11643.0,44.71,20.0,0.002152
My-Euristich,XML100_1115_25,100,5,6.0,20,15413.0,10794.0,42.79,20.0,0.002107
My-Euristich,XML100_1115_01,100,5,6.0,20,16507.0,11095.0,48.78,20.0,0.002162
My-Euristich,XML100_3115_26,100,5,6.0,20,17381.0,12368.0,40.53,20.0,0.002226
My-Euristich,XML100_3115_11,100,5,6.0,20,16313.0,12691.0,28.54,20.0,0.002179
My-Euristich,XML100_1313_15,100,10,12.0,10,19065.0,11948.0,59.57,20.0,0.003314
My-Euristich,XML100_1313_09,100,10,12.0,10,30125.0,22097.0,36.33,20.0,0.003294
